T,mut_pct,evasion_type,threshold,fpr,tpr
100,20,evasion_dilute,6.7447274948966935,0.0,0.777
100,20,evasion_dilute,6.148130399270234,0.0,0.802
100,20,evasion_dilute,5.55129368009492,0.0,0.825
100,20,evasion_dilute,4.954677021213342,0.0,0.852
100,20,evasion_dilute,4.357535479757878,0.001,0.873
100,20,evasion_dilute,3.7619538968712045,0.001,0.892
100,20,evasion_dilute,3.1643094285075746,0.017,0.921
100,20,evasion_dilute,2.5228787452803374,0.078,0.945
100,20,evasion_dilute,1.958607314841775,0.243,0.971
100,20,evasion_dilute,1.3767507096020994,0.663,0.994
100,20,evasion_dilute,0.769551078621726,0.966,0.999
100,20,evasion_dilute,0.1804560644581313,1.0,1.0
100,20,evasion_dilute,-inf,1.0,1.0
100,5,evasion_pure,inf,0.0,0.0
100,5,evasion_pure,53.29157909986529,0.0,0.062
100,5,evasion_pure,52.694648630553374,0.0,0.07
100,5,evasion_pure,52.097453220686006,0.0,0.075
100,5,evasion_pure,51.5003129173816,0.0,0.083
100,5,evasion_pure,50.903089986991944,0.0,0.364
100,5,evasion_pure,50.30715308072277,0.0,0.388
100,5,evasion_pure,49.709965388637485,0.0,0.417
100,5,evasion_pure,49.11407366019857,0.0,0.442
100,5,evasion_pure,48.51712641639125,0.0,0.778
100,5,evasion_pure,47.920818753952375,0.0,0.794
100,5,evasion_pure,47.32330639037513,0.0,0.81
100,5,evasion_pure,46.72584215073632,0.0,0.833
100,5,evasion_pure,46.13018179202067,0.0,0.954
100,5,evasion_pure,45.53313237964589,0.0,0.961
100,5,evasion_pure,44.935542010773084,0.0,0.967
100,5,evasion_pure,44.34008379993015,0.0,0.969
100,5,evasion_pure,43.74232142513082,0.0,0.995
100,5,evasion_pure,42.54975089168064,0.0,0.996
100,5,evasion_pure,41.356547323513816,0.0,1.0
100,5,evasion_pure,4.357535479757878,0.001,1.0
100,5,evasion_pure,3.1643094285075746,0.017,1.0
100,5,evasion_pure,2.5228787452803374,0.078,1.0
100,5,evasion_pure,1.958607314841775,0.243,1.0
100,5,evasion_pure,1.3767507096020994,0.663,1.0
100,5,evasion_pure,0.769551078621726,0.966,1.0
100,5,evasion_pure,0.1804560644581313,1.0,1.0
100,5,evasion_pure,-inf,1.0,1.0
100,5,evasion_dilute,inf,0.0,0.0
100,5,evasion_dilute,53.29157909986529,0.0,0.003
100,5,evasion_dilute,52.694648630553374,0.0,0.004
100,5,evasion_dilute,50.903089986991944,0.0,0.024
100,5,evasion_dilute,50.30715308072277,0.0,0.025
100,5,evasion_dilute,49.709965388637485,0.0,0.028
